"filename", "language", "YAML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "XML", "Groovy", "Batch", "Properties", "TypeScript JSX", "PostCSS", "Java", "comment", "blank", "total"
"c:\Users\LENOVO\trashure\frontend-vite\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LENOVO\trashure\frontend-vite\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\LENOVO\trashure\frontend-vite\src\components\AnimatedCounter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 8, 44
"c:\Users\LENOVO\trashure\frontend-vite\src\components\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 11, 16, 176
"c:\Users\LENOVO\trashure\frontend-vite\src\components\PageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\LENOVO\trashure\frontend-vite\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 5, 60
"c:\Users\LENOVO\trashure\frontend-vite\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"c:\Users\LENOVO\trashure\frontend-vite\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 2, 5, 131
"c:\Users\LENOVO\trashure\frontend-vite\src\lib\supabase\client.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"c:\Users\LENOVO\trashure\frontend-vite\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\LENOVO\trashure\frontend-vite\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\AdminPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 13, 103
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\AdminUsersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 2, 11, 137
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardChattransactionIdDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 5, 21, 150
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardFeedPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 3, 10, 164
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardListingsNewPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 7, 38, 380
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardListingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 7, 15, 191
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardListingsidDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 691, 0, 0, 11, 59, 761
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 2, 17, 175
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardPickupPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 5, 15, 174
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 7, 21, 332
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardTransactionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 2, 14, 199
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\DashboardWalletPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 8, 24, 220
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\GuidePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 5, 16, 135
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 16, 30, 314
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 11, 89
"c:\Users\LENOVO\trashure\frontend-vite\src\pages\RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 2, 17, 167
"c:\Users\LENOVO\trashure\frontend-vite\tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\LENOVO\trashure\frontend-vite\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\LENOVO\trashure\frontend-vite\tsconfig.node.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\LENOVO\trashure\frontend-vite\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\LENOVO\trashure\frontend-vite\vite.config.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\LENOVO\trashure\implementation_plan.md", "Markdown", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 90
"c:\Users\LENOVO\trashure\migrate.js", "JavaScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 70
"Total", "-", 72, 1177, 13902, 22, 136, 165, 39, 350, 115, 41, 9, 3660, 282, 27, 292, 893, 21182
